date,event,pnl,reason,signal,signal_date,strategy
2024-03-26,open,0.0,,short_vol,2024-03-25,short_strangle
2024-03-27,open,0.0,,short_vol,2024-03-26,short_strangle
2024-03-28,open,0.0,,short_vol,2024-03-27,short_strangle
2024-03-29,open,0.0,,short_vol,2024-03-28,short_strangle
2024-04-01,open,0.0,,short_vol,2024-03-29,short_strangle
2024-04-02,limit,0.0,max_positions,short_vol,2024-04-01,short_strangle
2024-04-05,limit,0.0,max_positions,short_vol,2024-04-04,short_strangle
2024-04-08,limit,0.0,max_positions,short_vol,2024-04-05,short_strangle
2024-04-09,close,111.01770939719397,max_holding,,2024-03-25,short_strangle
2024-04-09,open,0.0,,short_vol,2024-04-08,short_strangle
2024-04-10,close,-30.07058972225626,max_holding,,2024-03-26,short_strangle
2024-04-10,open,0.0,,short_vol,2024-04-09,short_strangle
2024-04-11,close,243.40754675159522,max_holding,,2024-03-27,short_strangle
2024-04-11,open,0.0,,short_vol,2024-04-10,short_strangle
2024-04-12,close,-58.57819627583851,max_holding,,2024-03-28,short_strangle
2024-04-12,open,0.0,,short_vol,2024-04-11,short_strangle
2024-04-15,close,346.19595435760334,max_holding,,2024-03-29,short_strangle
2024-04-15,open,0.0,,short_vol,2024-04-12,short_strangle
2024-04-16,close,420.3309490818877,profit_target,,2024-04-09,short_strangle
2024-04-16,close,539.7193191600221,profit_target,,2024-04-11,short_strangle
2024-04-16,open,0.0,,short_vol,2024-04-15,short_strangle
2024-04-17,close,272.47748764317964,profit_target,,2024-04-08,short_strangle
2024-04-17,close,607.3892480585431,profit_target,,2024-04-10,short_strangle
2024-04-18,close,345.9297463994072,profit_target,,2024-04-12,short_strangle
2024-04-18,close,211.75347150330168,profit_target,,2024-04-15,short_strangle
2024-05-21,open,0.0,,short_vol,2024-05-20,short_strangle
2024-05-22,open,0.0,,short_vol,2024-05-21,short_strangle
2024-05-23,open,0.0,,short_vol,2024-05-22,short_strangle
2024-05-28,open,0.0,,short_vol,2024-05-27,short_strangle
2024-05-29,close,-450.89135195993487,stop_loss,,2024-05-21,short_strangle
2024-05-29,close,-511.26059188909335,stop_loss,,2024-05-22,short_strangle
2024-05-29,open,0.0,,short_vol,2024-05-28,short_strangle
2024-05-30,open,0.0,,short_vol,2024-05-29,short_strangle
2024-05-31,open,0.0,,short_vol,2024-05-30,short_strangle
2024-06-03,limit,0.0,max_positions,short_vol,2024-05-31,short_strangle
2024-06-04,close,-51.93097669486884,max_holding,,2024-05-20,short_strangle
2024-06-04,open,0.0,,short_vol,2024-06-03,short_strangle
2024-06-05,limit,0.0,max_positions,short_vol,2024-06-04,short_strangle
2024-06-06,limit,0.0,max_positions,short_vol,2024-06-05,short_strangle
2024-06-07,limit,0.0,max_positions,short_vol,2024-06-06,short_strangle
2024-06-10,limit,0.0,max_positions,short_vol,2024-06-07,short_strangle
2024-06-11,close,318.9582098568106,max_holding,,2024-05-27,short_strangle
2024-06-11,close,610.4012443699448,profit_target,,2024-05-28,short_strangle
2024-06-11,close,308.3468171208149,profit_target,,2024-06-03,short_strangle
2024-06-11,open,0.0,,short_vol,2024-06-10,short_strangle
2024-06-13,close,411.4494814129402,max_holding,,2024-05-29,short_strangle
2024-06-14,close,5.848194827503471,max_holding,,2024-05-30,short_strangle
2024-06-14,close,-237.1075410467877,stop_loss,,2024-06-10,short_strangle
